text	start	duration	sequence_id	sentence
the	0.15963800904977377	0.15963800904977377	0	the cat stood quietly in the center of the ring everyone at the show wanted to see the cat up close a young girl reached out to touch the cat the judge walked slowly around the cat and made some notes photographers leaned in to capture the cat in good light the owner gently brushed the cat before the next round people in the crowd pointed at the cat and smiled the cat turned toward the sound of the applause after the show the cat rested quietly in the shade many visitors agreed the cat was the finest one there
cat	0.31927601809954753	0.3990950226244344	0	the cat stood quietly in the center of the ring everyone at the show wanted to see the cat up close a young girl reached out to touch the cat the judge walked slowly around the cat and made some notes photographers leaned in to capture the cat in good light the owner gently brushed the cat before the next round people in the crowd pointed at the cat and smiled the cat turned toward the sound of the applause after the show the cat rested quietly in the shade many visitors agreed the cat was the finest one there
stood	0.718371040723982	0.3192760180995474	0	the cat stood quietly in the center of the ring everyone at the show wanted to see the cat up close a young girl reached out to touch the cat the judge walked slowly around the cat and made some notes photographers leaned in to capture the cat in good light the owner gently brushed the cat before the next round people in the crowd pointed at the cat and smiled the cat turned toward the sound of the applause after the show the cat rested quietly in the shade many visitors agreed the cat was the finest one there
quietly	1.0376470588235294	0.6385520361990951	0	the cat stood quietly in the center of the ring everyone at the show wanted to see the cat up close a young girl reached out to touch the cat the judge walked slowly around the cat and made some notes photographers leaned in to capture the cat in good light the owner gently brushed the cat before the next round people in the crowd pointed at the cat and smiled the cat turned toward the sound of the applause after the show the cat rested quietly in the shade many visitors agreed the cat was the finest one there
in	1.6761990950226244	0.079819004524887	0	the cat stood quietly in the center of the ring everyone at the show wanted to see the cat up close a young girl reached out to touch the cat the judge walked slowly around the cat and made some notes photographers leaned in to capture the cat in good light the owner gently brushed the cat before the next round people in the crowd pointed at the cat and smiled the cat turned toward the sound of the applause after the show the cat rested quietly in the shade many visitors agreed the cat was the finest one there
the	1.7560180995475114	0.15963800904977377	0	the cat stood quietly in the center of the ring everyone at the show wanted to see the cat up close a young girl reached out to touch the cat the judge walked slowly around the cat and made some notes photographers leaned in to capture the cat in good light the owner gently brushed the cat before the next round people in the crowd pointed at the cat and smiled the cat turned toward the sound of the applause after the show the cat rested quietly in the shade many visitors agreed the cat was the finest one there
center	1.9156561085972852	0.31927601809954753	0	the cat stood quietly in the center of the ring everyone at the show wanted to see the cat up close a young girl reached out to touch the cat the judge walked slowly around the cat and made some notes photographers leaned in to capture the cat in good light the owner gently brushed the cat before the next round people in the crowd pointed at the cat and smiled the cat turned toward the sound of the applause after the show the cat rested quietly in the shade many visitors agreed the cat was the finest one there
of	2.2349321266968327	0.159638009049774	0	the cat stood quietly in the center of the ring everyone at the show wanted to see the cat up close a young girl reached out to touch the cat the judge walked slowly around the cat and made some notes photographers leaned in to capture the cat in good light the owner gently brushed the cat before the next round people in the crowd pointed at the cat and smiled the cat turned toward the sound of the applause after the show the cat rested quietly in the shade many visitors agreed the cat was the finest one there
the	2.3945701357466067	0.15963800904977354	0	the cat stood quietly in the center of the ring everyone at the show wanted to see the cat up close a young girl reached out to touch the cat the judge walked slowly around the cat and made some notes photographers leaned in to capture the cat in good light the owner gently brushed the cat before the next round people in the crowd pointed at the cat and smiled the cat turned toward the sound of the applause after the show the cat rested quietly in the shade many visitors agreed the cat was the finest one there
ring	2.5542081447963803	0.7183710407239818	0	the cat stood quietly in the center of the ring everyone at the show wanted to see the cat up close a young girl reached out to touch the cat the judge walked slowly around the cat and made some notes photographers leaned in to capture the cat in good light the owner gently brushed the cat before the next round people in the crowd pointed at the cat and smiled the cat turned toward the sound of the applause after the show the cat rested quietly in the shade many visitors agreed the cat was the finest one there
