text	start	duration	sequence_id	sentence
the	0.15985185185185186	0.2397777777777778	0	the lawyer questioned the witness during the trial my sister baked a chocolate cake for the party the scientists discovered a new planet last year he carefully repaired the broken clock on the shelf the children played in the garden after school she wrote a long letter to her old friend the farmer harvested the wheat before the storm we watched the sunet behind the tall mountains
lawyer	0.39962962962962967	0.39962962962962967	0	the lawyer questioned the witness during the trial my sister baked a chocolate cake for the party the scientists discovered a new planet last year he carefully repaired the broken clock on the shelf the children played in the garden after school she wrote a long letter to her old friend the farmer harvested the wheat before the storm we watched the sunet behind the tall mountains
questioned	0.7992592592592593	0.5594814814814815	0	the lawyer questioned the witness during the trial my sister baked a chocolate cake for the party the scientists discovered a new planet last year he carefully repaired the broken clock on the shelf the children played in the garden after school she wrote a long letter to her old friend the farmer harvested the wheat before the storm we watched the sunet behind the tall mountains
the	1.3587407407407408	0.1598518518518519	0	the lawyer questioned the witness during the trial my sister baked a chocolate cake for the party the scientists discovered a new planet last year he carefully repaired the broken clock on the shelf the children played in the garden after school she wrote a long letter to her old friend the farmer harvested the wheat before the storm we watched the sunet behind the tall mountains
witness	1.5185925925925927	0.4795555555555555	0	the lawyer questioned the witness during the trial my sister baked a chocolate cake for the party the scientists discovered a new planet last year he carefully repaired the broken clock on the shelf the children played in the garden after school she wrote a long letter to her old friend the farmer harvested the wheat before the storm we watched the sunet behind the tall mountains
during	1.9981481481481482	0.23977777777777765	0	the lawyer questioned the witness during the trial my sister baked a chocolate cake for the party the scientists discovered a new planet last year he carefully repaired the broken clock on the shelf the children played in the garden after school she wrote a long letter to her old friend the farmer harvested the wheat before the storm we watched the sunet behind the tall mountains
the	2.237925925925926	0.1598518518518519	0	the lawyer questioned the witness during the trial my sister baked a chocolate cake for the party the scientists discovered a new planet last year he carefully repaired the broken clock on the shelf the children played in the garden after school she wrote a long letter to her old friend the farmer harvested the wheat before the storm we watched the sunet behind the tall mountains
trial	2.397777777777778	0.8791851851851851	0	the lawyer questioned the witness during the trial my sister baked a chocolate cake for the party the scientists discovered a new planet last year he carefully repaired the broken clock on the shelf the children played in the garden after school she wrote a long letter to her old friend the farmer harvested the wheat before the storm we watched the sunet behind the tall mountains
my	3.276962962962963	0.3197037037037038	0	the lawyer questioned the witness during the trial my sister baked a chocolate cake for the party the scientists discovered a new planet last year he carefully repaired the broken clock on the shelf the children played in the garden after school she wrote a long letter to her old friend the farmer harvested the wheat before the storm we watched the sunet behind the tall mountains
sister	3.5966666666666667	0.3996296296296298	0	the lawyer questioned the witness during the trial my sister baked a chocolate cake for the party the scientists discovered a new planet last year he carefully repaired the broken clock on the shelf the children played in the garden after school she wrote a long letter to her old friend the farmer harvested the wheat before the storm we watched the sunet behind the tall mountains
